Title,Category,Description,Specifications,SKU,Original Price,Sale Price,Availability,URL,Images_URL,Gender
Sekonda King Men's Watch | Silver Case & Stainless Steel Bracelet with Blue Dial | 1640,CLASSIC,This timepiece features a silver coloured ionic plated case enclosing a stylish dark blue sunray dial with a date display. The watch is fastened with a slimline stainless steel bracelet that sits comfortably on the wrist.,"Model 1640
Round alloy case
Dark Blue dial
Date
Silver stainless steel bracelet
 Minimum length of bracelet: 155mm 
 Maximum length of bracelet: 210mm 
Water resistant to 30 Metres
2 year guarantee",1640,54.99,,in_stock,https://www.sekonda.com/p/sekonda-mens-classic-stainless-steel-bracelet-watch-221,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1640_front.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1640_left.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1640_close_up.jpg, https://www.sekonda.com/static/media/catalog/product/i/m/SEKONDA_1640_LIFESTYLE.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1640_right.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1640_back.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1640_buckle.jpg, https://www.sekonda.com/static/media/catalog/product/i/m/SEKONDA_1640_FRONT.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_1_22.jpg",Mens
Sekonda King Men's Watch | Gold Case & Stainless Steel Bracelet with Black Dial | 1642,CLASSIC,This timepiece features a gold plated case housing a bold black sunray dial with a date display. The watch is fastened with a slim gold plated stainless steel bracelet that sits perfectly on the wrist.,"Model 1642
Round alloy case
Black dial
Date
Gold stainless steel bracelet
 Minimum length of bracelet: 155mm 
 Maximum length of bracelet: 210mm 
Water resistant to 30 Metres
2 year guarantee",1642,59.99,,in_stock,https://www.sekonda.com/p/sekonda-mens-classic-gold-plated-bracelet-watch,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1642_front.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1642_left.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1642_close_up.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1642_right.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1642_back.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1642_buckle.jpg, https://www.sekonda.com/static/media/catalog/product/i/m/SEKONDA_1642_FRONT.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_1_71.jpg",Mens
Sekonda King Men's Watch | Two Tone Case & Stainless Steel Bracelet with Black Dial | 1836,CLASSIC,This timepiece features a two tone case housing a bold black sunray dial with a date display. The watch is fastened with a slim gold plated stainless steel bracelet that sits perfectly on the wrist.,"Model 1642
Round alloy case
Black dial
Date
Gold & Silver stainless steel bracelet
Water resistant to 30 Metres
2 year guarantee",1836,59.99,,in_stock,https://www.sekonda.com/p/sekonda-mens-classic-gold-plated-bracelet-watch-1,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1836_front_1.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1836_left.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1836_close_up.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1836_back.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1836_buckle.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_1836_front_1.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_1_100.jpg",Mens
Sekonda King Collection Config,,,,Sekonda King Collection Config,54.99,,in_stock,https://www.sekonda.com/p/sekonda-king-mens-classic-watch,,
Sekonda King Men’s Watch | Silver Alloy Case & Silver Stainless Steel Bracelet with Black Dial | 30156,CLASSIC,"The watch has a round, ion-plated silver alloy case with a coin edged bezel and a black dial featuring a date display. Fastened with a stainless steel bracelet.","Model 30156 
 
 Round, ion-plated silver alloy case 
 
 Black dial 
 
 Date display 
 
 Stainless steel bracelet 
 
 Minimum strap length: 155mm 
 
 Maximum strap length: 209mm 
 
 2 year guarantee",30156,54.99,,in_stock,https://www.sekonda.com/p/sekonda-king-men-s-watch-silver-alloy-case-silver-stainless-steel-bracelet-with-black-dial-30156,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30156_front.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30156_left.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30156_close_up.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30156_wrist.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30156_right.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30156_back.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30156_front.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_1_55.jpg",Mens
Sekonda King Men’s Watch | Gold Alloy Case & Stainless Steel Bracelet with Green Dial | 30157,CLASSIC,"The watch has a round, ion-plated gold alloy case with a coin edged bezel and a green dial featuring a date display. Fastened with an ion-plated gold stainless steel bracelet.","Model 30157 
 
 Round, ion-plated gold alloy case 
 
 Green dial 
 
 Date display 
 
 Ion-plated gold stainless steel bracelet 
 
 Minimum strap length: 155mm 
 
 Maximum strap length: 209mm 
 
 2 year guarantee",30157,59.99,,in_stock,https://www.sekonda.com/p/sekonda-king-men-s-watch-gold-alloy-case-stainless-steel-bracelet-with-green-dial-30157,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30157_front.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30157_left.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30157_close_up.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30157_wrist.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30157_right.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30157_back.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30157_front.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_1_73.jpg",Mens
Premium Black Gift Box,,"Make it a gift. Our premium black watch rolls are made with black PU leather and are fastened with a double-pressed stud. The inside of the watch roll is all black suede, and your chosen watch will sit on a plush black cushion.","Premium Black Gift Box 
 This is a keepsake item, perfect for gifting and keeping your favourite watch in when you’re not wearing it. 
 Black PU leather. 
 Black suede inner. 
 Black cushion. 
 Double press stud fastening. 
 The watch roll will be placed in a branded card box and delivered in recyclable outer packaging.",SB206S,14.99,7.99,in_stock,https://www.sekonda.com/p/premium-black-watch-gift-roll,"https://www.sekonda.com/static/media/catalog/product/b/l/black_box_1_2.jpg, https://www.sekonda.com/static/media/catalog/product/b/l/black_box_2_2.jpg",Unisex
Premium Grey Gift Box,,,,SB207S,14.99,7.99,in_stock,https://www.sekonda.com/p/prem-grey-standalone,"https://www.sekonda.com/static/media/catalog/product/g/r/grey_box_1_2.jpg, https://www.sekonda.com/static/media/catalog/product/g/r/grey_box_2_1_2.jpg",Unisex
Sekonda Armstrong Moon Phase Men’s Watch | Silver Alloy Case & Brown Leather Strap with Silver Dial | 30146,CLASSIC,"This watch has a round, ion-plated silver alloy case with a silver-white dial. The watch features a moon phase sub-dial which tracks the moon through a 29.5 day lunar cycle, printed moons and stars, tachymeter, a black minute track and day and date sub-dials. Fastened with an interchangeable brown, croco-grain leather upper strap and up to 50 metres water resistance.","Model 30146 
 Round, ion-plated silver alloy case 
 Silver-white dial 
 Moon Phase sub-dial tracking a 29.5 day lunar cycle with printed moons and stars 
 Tachymeter 
 Black minute track 
 Day & date sub-dials 
 50 metres water resistance 
 Interchangeable brown croco-grain leather upper strap 
 Minimum strap length: 157mm 
 Maximum strap length: 205mm 
 2 year guarantee",30146,69.99,,in_stock,https://www.sekonda.com/p/sekonda-armstrong-moon-phase-men-s-watch-silver-alloy-case-brown-leather-strap-with-silver-dial-30146,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30146_front.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30146_left.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30146_close_up.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30146_wrist.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30146_right.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30146_back.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30146_front_1_.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_1_101.jpg",Mens
Sekonda Armstrong Moon Phase Men’s Watch | Gold Alloy Case & Black Leather Strap with Silver Dial | 30147,CLASSIC,"This watch has a round, ion-plated gold alloy case with a silver-white dial. The watch features a moon phase sub-dial which tracks the moon through a 29.5 day lunar cycle, printed moons and stars, tachymeter, a black minute track and day and date sub-dials. Fastened with an interchangeable black, croco-grain leather upper strap and up to 50 metres water resistance.","Model 30147 
 Round, ion-plated gold alloy case 
 Silver-white dial 
 Moon Phase sub-dial tracking a 29.5 day lunar cycle with printed moons and stars 
 Tachymeter 
 Black minute track 
 Day & date sub-dials 
 50 metres water resistance 
 Interchangeable black croco-grain leather upper strap 
 Minimum strap length: 157mm 
 Maximum strap length: 205mm 
 2 year guarantee",30147,74.99,,in_stock,https://www.sekonda.com/p/sekonda-armstrong-moon-phase-men-s-watch-gold-alloy-case-black-leather-strap-with-silver-dial-30147,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30147_front.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30147_left.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30147_close_up.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30147_wrist.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30147_right.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30147_back.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30147_front.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_3_8.jpg",Mens
